0.000000000 0.505247832 0.998738698 0.011756967
10.000000000 0.505647841 0.998737376 0.012558307
20.000000000 0.506049497 0.998734839 0.013364156
30.000000000 0.506451979 0.998725244 0.014178714
40.000000000 0.506856084 0.998707470 0.015004697
50.000000000 0.507261770 0.998679454 0.015844086
60.000000000 0.507668542 0.998638752 0.016698333
70.000000000 0.508076168 0.998583597 0.017568740
80.000000000 0.508485414 0.998515642 0.018455185
90.000000000 0.508896581 0.998433129 0.019360034
100.000000000 0.509307923 0.998333321 0.020282525
110.000000000 0.509721575 0.998223485 0.021219665
120.000000000 0.510135685 0.998099234 0.022172137
130.000000000 0.510552032 0.997960920 0.023143145
140.000000000 0.510969938 0.997804771 0.024135105
150.000000000 0.511388727 0.997629493 0.025147961
160.000000000 0.511807915 0.997435905 0.026179925
170.000000000 0.512227586 0.997227218 0.027227953
180.000000000 0.512646949 0.997007917 0.028285981
190.000000000 0.513066564 0.996782036 0.029351093
200.000000000 0.513486587 0.996552324 0.030420851
210.000000000 0.513905466 0.996321110 0.031489823
220.000000000 0.514325529 0.996097787 0.032553271
230.000000000 0.514746151 0.995883924 0.033608378
240.000000000 0.515168338 0.995680052 0.034656623
250.000000000 0.515591562 0.995485824 0.035697300
260.000000000 0.516016221 0.995302219 0.036730223
270.000000000 0.516440946 0.995127578 0.037754313
280.000000000 0.516867434 0.994970013 0.038764854
290.000000000 0.517295112 0.994831384 0.039758841
300.000000000 0.517724302 0.994712609 0.040735994
310.000000000 0.518155878 0.994614006 0.041697750
320.000000000 0.518588105 0.994532456 0.042643754
330.000000000 0.519023219 0.994472605 0.043573833
340.000000000 0.519460570 0.994429833 0.044491308
350.000000000 0.519900776 0.994402100 0.045399452
360.000000000 0.520342397 0.994383377 0.046301417
370.000000000 0.520785800 0.994370929 0.047200670
380.000000000 0.521228557 0.994360451 0.048096662
390.000000000 0.521671916 0.994357122 0.048986711
400.000000000 0.522115917 0.994364448 0.049867385
410.000000000 0.522559749 0.994379540 0.050739958
420.000000000 0.523003981 0.994402835 0.051605127
430.000000000 0.523446725 0.994432289 0.052461162
440.000000000 0.523889000 0.994469427 0.053308573
450.000000000 0.524330061 0.994513725 0.054146397
460.000000000 0.524770685 0.994566544 0.054974826
470.000000000 0.525209098 0.994624581 0.055793614
480.000000000 0.525646178 0.994689442 0.056602914
490.000000000 0.526079933 0.994760112 0.057399755
500.000000000 0.526511486 0.994845400 0.058177572
510.000000000 0.526941702 0.994950017 0.058933387
520.000000000 0.527369806 0.995072074 0.059667538
530.000000000 0.527796967 0.995213240 0.060380694
540.000000000 0.528222735 0.995371083 0.061074386
550.000000000 0.528647902 0.995545074 0.061750729
560.000000000 0.529071899 0.995731975 0.062411823
570.000000000 0.529495664 0.995932339 0.063058990
580.000000000 0.529917758 0.996139591 0.063695925
590.000000000 0.530339487 0.996351698 0.064327277
600.000000000 0.530759695 0.996567353 0.064952037
610.000000000 0.531179158 0.996788297 0.065570018
620.000000000 0.531597798 0.997013266 0.066182329
630.000000000 0.532015311 0.997237590 0.066793033
